연도,분기,월,지하철역,호선명,00-06시,06-11시,11-14시,14-17시,17-21시,21-24시,위도,경도
2020,3,7,선릉,분당선,3780,361031,95918,107620,257496,59656,37.504571,127.048505
2020,3,7,선정릉,분당선,2644,158365,46667,55786,140549,32256,37.510516,127.043838
2020,3,7,수서,분당선,7474,247801,104970,122798,238510,72481,37.487425,127.1016645
2020,3,7,압구정로데오,분당선,3940,283206,133723,162503,368404,91285,37.527381,127.040534
2020,3,7,한티,분당선,3370,221249,113986,125791,242735,79829,37.496237,127.052873
2020,3,8,강남,2호선,21514,1112272,566265,664722,1300679,468671,37.4974135,127.028008
2020,3,8,삼성(무역센터),2호선,12782,797857,285751,355222,797595,178391,37.508844,127.06316
2020,3,8,선릉,2호선,10864,749995,281310,354883,738651,186354,37.504571,127.048505
2020,3,8,역삼,2호선,10514,832250,250694,307912,726083,163190,37.500622,127.036456
2020,3,8,대청,3호선,4535,135397,55242,64766,123781,37754,37.493514,127.079532
2020,3,8,대치,3호선,3031,142808,75141,83897,148567,63304,37.494612,127.063642
2020,3,8,도곡,3호선,2705,81343,31530,35327,67741,18054,37.491073,127.055319
2020,3,8,매봉,3호선,2411,182273,56564,66670,167334,39586,37.486947,127.046769
2020,3,8,수서,3호선,6654,244838,112379,128749,235918,66320,37.487425,127.1016645
2020,3,8,신사,3호선,5229,386875,190365,235117,473179,145753,37.516334,127.020114
2020,3,8,압구정,3호선,6118,461850,219364,249367,481727,113772,37.527072,127.028461
2020,3,8,일원,3호선,3354,144439,69913,72042,101613,26417,37.483681,127.08439
2020,3,8,학여울,3호선,584,28045,11942,13883,24297,6442,37.496663,127.070594
2020,3,8,강남구청,7호선,3559,270761,84247,96479,229606,66896,37.517324,127.041203
2020,3,8,논현,7호선,4755,324533,100135,120137,300223,94081,37.511093,127.021415
2020,3,8,청담,7호선,7908,364386,94680,117099,278988,66711,37.519365,127.05335
2020,3,8,학동,7호선,4612,421973,95089,119101,350865,72514,37.514229,127.031656
2020,3,8,신논현,9호선,7386,386781,200834,236619,488296,168975,37.504598,127.02506
2020,3,8,봉은사,9호선2~3단계,2643,233728,105020,123220,248056,59331,37.514219,127.060245
2020,3,8,삼성중앙,9호선2~3단계,1064,103293,32144,38349,100841,22021,37.513011,127.053282
2020,3,8,선정릉,9호선2~3단계,1836,143947,47794,54106,134279,36432,37.510516,127.043838
2020,3,8,언주,9호선2~3단계,2347,149789,53528,64010,141659,33184,37.507287,127.033868
2020,3,8,강남구청,분당선,2263,141066,58099,66404,143492,33087,37.517324,127.041203
2020,3,8,개포동,분당선,1414,51159,23015,26027,47531,16387,37.489116,127.06614
2020,3,8,구룡,분당선,714,26026,10932,13521,17012,4540,37.486839,127.058856
2020,3,8,대모산입구,분당선,3430,54453,19119,24097,39536,10129,37.491373,127.07272
2020,3,8,도곡,분당선,2229,91455,40244,46518,87037,23080,37.491073,127.055319
2020,3,8,선릉,분당선,3004,290165,82614,88040,206340,46632,37.504571,127.048505
2020,3,8,선정릉,분당선,2201,131052,39213,45619,116331,25693,37.510516,127.043838
2020,3,8,수서,분당선,6334,200295,91544,103998,197074,57858,37.487425,127.1016645
2020,3,8,압구정로데오,분당선,3449,244486,119225,138678,304399,71155,37.527381,127.040534
2020,3,8,한티,분당선,2818,194546,106689,107735,215934,69964,37.496237,127.052873
2020,3,9,강남,2호선,18219,965626,424481,538452,1098152,323143,37.4974135,127.028008
2020,3,9,삼성(무역센터),2호선,11541,739437,217015,285264,685030,132639,37.508844,127.06316
2020,3,9,선릉,2호선,9706,720277,255290,338998,688094,146869,37.504571,127.048505
2020,3,9,역삼,2호선,10690,785031,218214,284082,664149,131465,37.500622,127.036456
2020,3,9,대청,3호선,4266,131639,47692,64784,116730,31903,37.493514,127.079532
2020,3,9,대치,3호선,2809,125908,61335,77407,130155,43821,37.494612,127.063642
2020,3,9,도곡,3호선,2050,80303,28782,35402,66335,15283,37.491073,127.055319
2020,3,9,매봉,3호선,2167,176806,50794,63557,161876,33860,37.486947,127.046769
2020,3,9,수서,3호선,6396,229344,95493,117204,218287,53683,37.487425,127.1016645
2020,3,9,신사,3호선,3898,372582,168614,218518,443905,117944,37.516334,127.020114
2020,3,9,압구정,3호선,5529,447254,196488,232860,458296,97695,37.527072,127.028461
2020,3,9,일원,3호선,3216,141075,61434,68982,96841,22863,37.483681,127.08439
2020,3,9,학여울,3호선,570,25857,8893,11909,22466,5421,37.496663,127.070594
2020,3,9,강남구청,7호선,3309,267712,77899,93406,224359,58248,37.517324,127.041203
2020,3,9,논현,7호선,3839,320395,89811,116787,291598,80248,37.511093,127.021415
2020,3,9,청담,7호선,7111,353809,85275,111557,271705,57599,37.519365,127.05335
2020,3,9,학동,7호선,4318,423961,87948,116604,344368,65416,37.514229,127.031656
2020,3,9,신논현,9호선,5308,357730,164122,203448,430887,126587,37.504598,127.02506
2020,3,9,봉은사,9호선2~3단계,2298,207772,72805,87563,205748,43722,37.514219,127.060245
2020,3,9,삼성중앙,9호선2~3단계,945,99156,28562,36001,94189,18091,37.513011,127.053282
2020,3,9,선정릉,9호선2~3단계,1664,142107,43214,51914,130622,31517,37.510516,127.043838
2020,3,9,언주,9호선2~3단계,2097,143304,46954,58590,132778,27889,37.507287,127.033868
2020,3,9,강남구청,분당선,2011,138026,52416,62085,135230,27771,37.517324,127.041203
2020,3,9,개포동,분당선,1550,47186,18890,24021,44369,12804,37.489116,127.06614
2020,3,9,구룡,분당선,643,26496,9793,13316,17969,5078,37.486839,127.058856
2020,3,9,대모산입구,분당선,3333,54741,18698,24096,40303,8879,37.491373,127.07272
