연도,분기,버스정류장ARS번호,00~06_승하차_승객수,06~11_승하차_승객수,11~14_승하차_승객수,14~17_승하차_승객수,17~21_승하차_승객수,21~24_승하차_승객수,X좌표,Y좌표,버스정류장_위경도_값
2020,2분기,23118,4667,62828,21321,22977,31973,14581,127.0300881,37.51369865,"37.51369865, 127.0300881"
2020,3분기,23118,4648,66079,21156,23731,32632,14433,127.0300881,37.51369865,"37.51369865, 127.0300881"
2020,4분기,23118,4689,59593,20238,22198,29101,12446,127.0300881,37.51369865,"37.51369865, 127.0300881"
2020,1분기,23119,4254,44547,13703,16006,31923,14023,127.0323559,37.51027213,"37.51027213, 127.0323559"
2020,2분기,23119,3582,41931,14045,15831,29773,12226,127.0323559,37.51027213,"37.51027213, 127.0323559"
2020,3분기,23119,3898,44450,14708,16227,30509,12595,127.0323559,37.51027213,"37.51027213, 127.0323559"
2020,4분기,23119,3225,42206,13885,15847,28882,11836,127.0323559,37.51027213,"37.51027213, 127.0323559"
2020,1분기,23120,504,10608,3478,3731,5826,2259,127.0317185,37.50672595,"37.50672595, 127.0317185"
2020,2분기,23120,337,9698,3317,3368,4509,2132,127.0317185,37.50672595,"37.50672595, 127.0317185"
2020,3분기,23120,442,9946,3348,3621,4751,2227,127.0317185,37.50672595,"37.50672595, 127.0317185"
2020,4분기,23120,388,8789,3216,3263,3939,1791,127.0317185,37.50672595,"37.50672595, 127.0317185"
2020,1분기,23121,965,7541,5050,7139,14311,6962,127.0261192,37.50507711,"37.50507711, 127.0261192"
2020,2분기,23121,933,6466,4861,6665,12564,6177,127.0261192,37.50507711,"37.50507711, 127.0261192"
2020,3분기,23121,918,6869,4778,6664,12386,5934,127.0261192,37.50507711,"37.50507711, 127.0261192"
2020,4분기,23121,780,6119,4536,6042,10513,5174,127.0261192,37.50507711,"37.50507711, 127.0261192"
2020,1분기,23122,1528,40063,15849,19790,43022,15335,127.023986,37.505852,"37.505852, 127.023986"
2020,2분기,23122,1686,36890,15451,19040,39861,13654,127.023986,37.505852,"37.505852, 127.023986"
2020,3분기,23122,1668,38763,15817,19424,40219,13213,127.023986,37.505852,"37.505852, 127.023986"
2020,4분기,23122,1295,37709,14730,17915,36367,11557,127.023986,37.505852,"37.505852, 127.023986"
2020,1분기,23123,952,40703,16611,20603,52532,18125,127.0218369,37.51027193,"37.51027193, 127.0218369"
2020,2분기,23123,924,38892,15863,20102,49392,16536,127.0218369,37.51027193,"37.51027193, 127.0218369"
2020,3분기,23123,827,40678,16462,20853,50852,15896,127.0218369,37.51027193,"37.51027193, 127.0218369"
2020,4분기,23123,865,39517,15579,19381,47298,14531,127.0218369,37.51027193,"37.51027193, 127.0218369"
2020,1분기,23124,4536,45314,15566,17484,26972,12545,127.0307698,37.52039868,"37.52039868, 127.0307698"
2020,2분기,23124,4273,43358,14808,16850,26040,11833,127.0307698,37.52039868,"37.52039868, 127.0307698"
2020,3분기,23124,4263,45520,15805,17418,26721,11870,127.0307698,37.52039868,"37.52039868, 127.0307698"
2020,4분기,23124,3419,42029,14463,16235,24519,10603,127.0307698,37.52039868,"37.52039868, 127.0307698"
2020,1분기,23125,3273,53590,20879,24725,48784,16989,127.0348831,37.52168544,"37.52168544, 127.0348831"
2020,2분기,23125,3267,50112,20860,24523,47490,15540,127.0348831,37.52168544,"37.52168544, 127.0348831"
2020,3분기,23125,3307,50937,21217,25024,49574,15777,127.0348831,37.52168544,"37.52168544, 127.0348831"
2020,4분기,23125,2884,47072,18966,23669,44100,14063,127.0348831,37.52168544,"37.52168544, 127.0348831"
2020,1분기,23126,4457,21343,15633,19633,32699,18722,127.0380422,37.52267134,"37.52267134, 127.0380422"
2020,2분기,23126,4182,21244,15713,19651,33637,18117,127.0380422,37.52267134,"37.52267134, 127.0380422"
2020,3분기,23126,4317,21412,16501,20606,34665,18812,127.0380422,37.52267134,"37.52267134, 127.0380422"
