STDR_YY_CD,STDR_QU_CD,TRDAR_SE_CD,TRDAR_SE_CD_NM,TRDAR_CD,TRDAR_CD_NM,TOT_WRC_POPLTN_CO,ML_WRC_POPLTN_CO,FML_WRC_POPLTN_CO,AGRDE_10_WRC_POPLTN_CO,AGRDE_20_WRC_POPLTN_CO,AGRDE_30_WRC_POPLTN_CO,AGRDE_40_WRC_POPLTN_CO,AGRDE_50_WRC_POPLTN_CO,AGRDE_60_ABOVE_WRC_POPLTN_CO,MAG_10_WRC_POPLTN_CO,MAG_20_WRC_POPLTN_CO,MAG_30_WRC_POPLTN_CO,MAG_40_WRC_POPLTN_CO,MAG_50_WRC_POPLTN_CO,MAG_60_ABOVE_WRC_POPLTN_CO,FAG_10_WRC_POPLTN_CO,FAG_20_WRC_POPLTN_CO,FAG_30_WRC_POPLTN_CO,FAG_40_WRC_POPLTN_CO,FAG_50_WRC_POPLTN_CO,FAG_60_ABOVE_WRC_POPLTN_CO
2020,1,A,골목상권,2110043,충무초등학교,1202.0,670.0,532.0,12.0,212.0,307.0,331.0,223.0,117.0,7.0,97.0,155.0,169.0,152.0,90.0,5.0,115.0,152.0,162.0,71.0,27.0
2020,1,A,골목상권,2110044,관성묘,405.0,300.0,105.0,0.0,50.0,135.0,145.0,51.0,24.0,0.0,24.0,90.0,125.0,44.0,17.0,0.0,26.0,45.0,20.0,7.0,7.0
2020,1,A,골목상권,2110045,동대문역사문화공원역 5번,234.0,174.0,60.0,0.0,24.0,54.0,64.0,55.0,37.0,0.0,11.0,38.0,46.0,47.0,32.0,0.0,13.0,16.0,18.0,8.0,5.0
2020,1,A,골목상권,2110046,버티고개,106.0,76.0,30.0,0.0,6.0,23.0,41.0,28.0,8.0,0.0,3.0,17.0,29.0,20.0,7.0,0.0,3.0,6.0,12.0,8.0,1.0
2020,1,A,골목상권,2110047,다산성곽길,160.0,89.0,71.0,0.0,36.0,43.0,36.0,27.0,18.0,0.0,23.0,29.0,21.0,7.0,9.0,0.0,13.0,14.0,15.0,20.0,9.0
2020,1,A,골목상권,2110048,장충동주민센터,5312.0,2706.0,2606.0,21.0,867.0,1339.0,1511.0,1367.0,207.0,5.0,338.0,768.0,756.0,707.0,132.0,16.0,529.0,571.0,755.0,660.0,75.0
2020,1,A,골목상권,2110049,장충단 고개,2303.0,1240.0,1063.0,4.0,566.0,582.0,448.0,431.0,272.0,2.0,174.0,314.0,281.0,257.0,212.0,2.0,392.0,268.0,167.0,174.0,60.0
2020,1,A,골목상권,2110050,약수역 7번,309.0,230.0,79.0,0.0,34.0,81.0,76.0,76.0,42.0,0.0,21.0,59.0,60.0,57.0,33.0,0.0,13.0,22.0,16.0,19.0,9.0
2020,1,A,골목상권,2110051,한양공고앞 교차로,111.0,82.0,29.0,0.0,17.0,23.0,33.0,26.0,12.0,0.0,12.0,16.0,24.0,20.0,10.0,0.0,5.0,7.0,9.0,6.0,2.0
2020,1,A,골목상권,2110052,장충초등학교,484.0,281.0,203.0,0.0,43.0,100.0,132.0,130.0,79.0,0.0,16.0,63.0,75.0,82.0,45.0,0.0,27.0,37.0,57.0,48.0,34.0
