STDR_YY_CD,TRDAR_SE_CD,TRDAR_SE_CD_NM,APT_HSMP_CO,AE_66_SQMT_BELO_HSHLD_CO,AE_66_SQMT_HSHLD_CO,AE_99_SQMT_HSHLD_CO,AE_132_SQMT_HSHLD_CO,AE_165_SQMT_HSHLD_CO,PC_1_HDMIL_BELO_HSHLD_CO,PC_1_HDMIL_HSHLD_CO,PC_2_HDMIL_HSHLD_CO,PC_3_HDMIL_HSHLD_CO,PC_4_HDMIL_HSHLD_CO,PC_5_HDMIL_HSHLD_CO,PC_6_HDMIL_ABOVE_HSHLD_CO,AVRG_AE,AVRG_MKTC,STDR_QU_CD,TRDAR_CD,TRDAR_CD_NM
2020,A,골목상권,16.0,36.0,178.0,129.0,172.0,21.0,4.0,17.0,13.0,35.0,15.0,35.0,417.0,94.0,442732649.0,1,2110012,성곡미술관
2020,A,골목상권,16.0,36.0,178.0,129.0,172.0,21.0,4.0,17.0,13.0,35.0,15.0,35.0,417.0,94.0,442732649.0,2,2110012,성곡미술관
2020,A,골목상권,16.0,36.0,178.0,129.0,172.0,21.0,4.0,17.0,13.0,35.0,15.0,35.0,417.0,94.0,442732649.0,3,2110012,성곡미술관
2020,A,골목상권,18.0,48.0,176.0,129.0,172.0,21.0,3.0,13.0,28.0,35.0,12.0,22.0,433.0,92.0,480220813.0,4,2110012,성곡미술관
2020,A,골목상권,5.0,25.0,25.0,0.0,1.0,8.0,4.0,17.0,6.0,6.0,17.0,0.0,9.0,88.0,377085464.0,1,2110013,체부동홍종문가옥
2020,A,골목상권,5.0,25.0,25.0,0.0,1.0,8.0,4.0,17.0,6.0,6.0,17.0,0.0,9.0,88.0,377085464.0,2,2110013,체부동홍종문가옥
2020,A,골목상권,5.0,25.0,25.0,0.0,1.0,8.0,4.0,17.0,6.0,6.0,17.0,0.0,9.0,88.0,377085464.0,3,2110013,체부동홍종문가옥
2020,A,골목상권,5.0,25.0,25.0,0.0,1.0,8.0,4.0,14.0,9.0,6.0,17.0,0.0,9.0,88.0,386799231.0,4,2110013,체부동홍종문가옥
2020,A,골목상권,11.0,1.0,50.0,8.0,3.0,6.0,1.0,2.0,45.0,5.0,7.0,2.0,6.0,97.0,327158225.0,1,2110014,경복고등학교
2020,A,골목상권,11.0,1.0,50.0,8.0,3.0,6.0,1.0,2.0,45.0,5.0,7.0,2.0,6.0,97.0,327158225.0,2,2110014,경복고등학교
2020,A,골목상권,11.0,1.0,50.0,8.0,3.0,6.0,1.0,2.0,45.0,5.0,7.0,2.0,6.0,97.0,327158225.0,3,2110014,경복고등학교
2020,A,골목상권,11.0,1.0,50.0,8.0,3.0,6.0,1.0,2.0,43.0,7.0,7.0,2.0,6.0,97.0,340168723.0,4,2110014,경복고등학교
2020,A,골목상권,11.0,16.0,40.0,4.0,6.0,23.0,4.0,3.0,22.0,30.0,2.0,2.0,26.0,97.0,353241991.0,1,2110015,청와대사랑채
2020,A,골목상권,11.0,16.0,40.0,4.0,6.0,23.0,4.0,3.0,22.0,30.0,2.0,2.0,26.0,97.0,353241991.0,2,2110015,청와대사랑채
2020,A,골목상권,11.0,16.0,40.0,4.0,6.0,23.0,4.0,3.0,22.0,30.0,2.0,2.0,26.0,97.0,353241991.0,3,2110015,청와대사랑채
2020,A,골목상권,12.0,23.0,43.0,4.0,6.0,23.0,4.0,4.0,27.0,33.0,2.0,3.0,26.0,89.0,341030055.0,4,2110015,청와대사랑채
2020,A,골목상권,23.0,12.0,35.0,9.0,34.0,26.0,8.0,20.0,27.0,3.0,9.0,13.0,36.0,118.0,345114791.0,1,2110016,평창동동측
2020,A,골목상권,23.0,12.0,35.0,9.0,34.0,26.0,8.0,20.0,27.0,3.0,9.0,13.0,36.0,118.0,345114791.0,2,2110016,평창동동측
2020,A,골목상권,23.0,12.0,35.0,9.0,34.0,26.0,8.0,20.0,27.0,3.0,9.0,13.0,36.0,118.0,345114791.0,3,2110016,평창동동측
2020,A,골목상권,23.0,12.0,35.0,9.0,34.0,26.0,7.0,21.0,26.0,4.0,9.0,7.0,42.0,118.0,351232698.0,4,2110016,평창동동측
2020,A,골목상권,10.0,19.0,17.0,1.0,0.0,22.0,13.0,9.0,10.0,5.0,0.0,0.0,22.0,163.0,977357955.0,1,2110017,정독도서관
2020,A,골목상권,10.0,19.0,17.0,1.0,0.0,22.0,13.0,9.0,10.0,5.0,0.0,0.0,22.0,163.0,977357955.0,2,2110017,정독도서관
2020,A,골목상권,10.0,19.0,17.0,1.0,0.0,22.0,13.0,9.0,10.0,5.0,0.0,0.0,22.0,163.0,977357955.0,3,2110017,정독도서관
2020,A,골목상권,10.0,19.0,17.0,1.0,0.0,22.0,13.0,9.0,9.0,6.0,0.0,0.0,22.0,163.0,1066013826.0,4,2110017,정독도서관
2020,A,골목상권,116.0,689.0,42.0,13.0,7.0,22.0,154.0,507.0,61.0,17.0,4.0,2.0,28.0,57.0,177855386.0,1,2110018,중앙고등학교
2020,A,골목상권,116.0,689.0,42.0,13.0,7.0,22.0,154.0,507.0,61.0,17.0,4.0,2.0,28.0,57.0,177855386.0,2,2110018,중앙고등학교
2020,A,골목상권,116.0,689.0,42.0,13.0,7.0,22.0,154.0,507.0,61.0,17.0,4.0,2.0,28.0,57.0,177855386.0,3,2110018,중앙고등학교
2020,A,골목상권,116.0,687.0,43.0,13.0,7.0,22.0,152.0,482.0,86.0,15.0,6.0,3.0,28.0,57.0,185652338.0,4,2110018,중앙고등학교
2020,A,골목상권,134.0,699.0,126.0,17.0,7.0,4.0,378.0,331.0,115.0,20.0,7.0,1.0,1.0,55.0,126554035.0,1,2110020,서울국제고등학교
2020,A,골목상권,134.0,699.0,126.0,17.0,7.0,4.0,378.0,331.0,115.0,20.0,7.0,1.0,1.0,55.0,126554035.0,2,2110020,서울국제고등학교
2020,A,골목상권,134.0,699.0,126.0,17.0,7.0,4.0,378.0,331.0,115.0,20.0,7.0,1.0,1.0,55.0,126554035.0,3,2110020,서울국제고등학교
2020,A,골목상권,137.0,703.0,123.0,19.0,8.0,5.0,362.0,327.0,137.0,23.0,7.0,0.0,2.0,56.0,130860030.0,4,2110020,서울국제고등학교
2020,A,골목상권,30.0,264.0,64.0,4.0,0.0,0.0,150.0,85.0,94.0,2.0,1.0,0.0,0.0,47.0,148172811.0,1,2110021,성균관대학교
2020,A,골목상권,30.0,264.0,64.0,4.0,0.0,0.0,150.0,85.0,94.0,2.0,1.0,0.0,0.0,47.0,148172811.0,2,2110021,성균관대학교
2020,A,골목상권,30.0,264.0,64.0,4.0,0.0,0.0,150.0,85.0,94.0,2.0,1.0,0.0,0.0,47.0,148172811.0,3,2110021,성균관대학교
2020,A,골목상권,30.0,264.0,64.0,4.0,0.0,0.0,148.0,80.0,100.0,3.0,1.0,0.0,0.0,47.0,153316309.0,4,2110021,성균관대학교
2020,A,골목상권,35.0,260.0,130.0,11.0,3.0,2.0,149.0,94.0,109.0,50.0,2.0,0.0,2.0,61.0,205130740.0,1,2110022,경신고등학교
2020,A,골목상권,35.0,260.0,130.0,11.0,3.0,2.0,149.0,94.0,109.0,50.0,2.0,0.0,2.0,61.0,205130740.0,2,2110022,경신고등학교
2020,A,골목상권,35.0,260.0,130.0,11.0,3.0,2.0,149.0,94.0,109.0,50.0,2.0,0.0,2.0,61.0,205130740.0,3,2110022,경신고등학교
2020,A,골목상권,36.0,266.0,130.0,11.0,3.0,2.0,149.0,91.0,107.0,52.0,11.0,0.0,2.0,61.0,214782185.0,4,2110022,경신고등학교
2020,A,골목상권,64.0,426.0,5.0,0.0,0.0,0.0,249.0,182.0,0.0,0.0,0.0,0.0,0.0,39.0,95737417.0,1,2110023,서울대병원
2020,A,골목상권,64.0,426.0,5.0,0.0,0.0,0.0,249.0,182.0,0.0,0.0,0.0,0.0,0.0,39.0,95737417.0,2,2110023,서울대병원
2020,A,골목상권,64.0,426.0,5.0,0.0,0.0,0.0,249.0,182.0,0.0,0.0,0.0,0.0,0.0,39.0,95737417.0,3,2110023,서울대병원
2020,A,골목상권,64.0,424.0,5.0,0.0,0.0,0.0,232.0,187.0,10.0,0.0,0.0,0.0,0.0,39.0,98880997.0,4,2110023,서울대병원
2020,A,골목상권,15.0,102.0,26.0,4.0,2.0,1.0,36.0,43.0,41.0,12.0,2.0,1.0,0.0,55.0,181192189.0,1,2110024,혜회동주민센터
2020,A,골목상권,15.0,102.0,26.0,4.0,2.0,1.0,36.0,43.0,41.0,12.0,2.0,1.0,0.0,55.0,181192189.0,2,2110024,혜회동주민센터
2020,A,골목상권,15.0,102.0,26.0,4.0,2.0,1.0,36.0,43.0,41.0,12.0,2.0,1.0,0.0,55.0,181192189.0,3,2110024,혜회동주민센터
2020,A,골목상권,16.0,106.0,26.0,4.0,2.0,1.0,32.0,34.0,55.0,15.0,1.0,2.0,0.0,53.0,189625572.0,4,2110024,혜회동주민센터
2020,A,골목상권,1.0,68.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,22.0,112279412.0,1,2110025,충신시장옆
2020,A,골목상권,1.0,68.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,22.0,112279412.0,2,2110025,충신시장옆
2020,A,골목상권,1.0,68.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,22.0,112279412.0,3,2110025,충신시장옆
2020,A,골목상권,1.0,68.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,22.0,117441176.0,4,2110025,충신시장옆
2020,A,골목상권,103.0,588.0,133.0,10.0,0.0,15.0,274.0,339.0,112.0,5.0,0.0,1.0,15.0,58.0,158260841.0,1,2110027,혜화역 1번
2020,A,골목상권,103.0,588.0,133.0,10.0,0.0,15.0,274.0,339.0,112.0,5.0,0.0,1.0,15.0,58.0,158260841.0,2,2110027,혜화역 1번
2020,A,골목상권,103.0,588.0,133.0,10.0,0.0,15.0,274.0,339.0,112.0,5.0,0.0,1.0,15.0,58.0,158260841.0,3,2110027,혜화역 1번
2020,A,골목상권,104.0,590.0,133.0,10.0,0.0,29.0,237.0,364.0,125.0,6.0,0.0,1.0,29.0,64.0,190224429.0,4,2110027,혜화역 1번
2020,A,골목상권,26.0,193.0,75.0,2.0,5.0,0.0,122.0,89.0,57.0,5.0,2.0,0.0,0.0,52.0,143999440.0,1,2110028,이화달팽이길
2020,A,골목상권,26.0,193.0,75.0,2.0,5.0,0.0,122.0,89.0,57.0,5.0,2.0,0.0,0.0,52.0,143999440.0,2,2110028,이화달팽이길
