매출,기준_년_코드,상권_구분_코드_명,상권_코드,상권_코드_명,시간대,분기,점포수,총 상주인구 수,총 가구 수,총_직장인구_수,아파트_단지_수,아파트_가격_1_억_미만_세대_수,아파트_가격_1_억_세대_수,아파트_가격_2_억_세대_수,아파트_가격_3_억_세대_수,아파트_가격_4_억_세대_수,아파트_가격_5_억_세대_수,아파트_가격_6_억_이상_세대_수,총_생활인구_수,시간대_생활인구_수,월요일_생활인구_수,화요일_생활인구_수,수요일_생활인구_수,목요일_생활인구_수,금요일_생활인구_수,토요일_생활인구_수,일요일_생활인구_수,집객시설_수,관공서_수,은행_수,백화점_수,숙박_시설_수,area,연령대_10_생활인구_수,연령대_20_생활인구_수,연령대_30_생활인구_수,연령대_40_생활인구_수,연령대_50_생활인구_수,연령대_60_이상_생활인구_수,시간대_버스_승하차승객수,시간대_지하철_승하차승객수,버스정류장_수,지하철역_수
0,2020,발달상권,2120218,코엑스,1,1,24,19,11,290,0,0,0,0,0,0,0,0,42253,2429,6383,6678,6547,6704,6590,4938,4415,32,3,7,0,0,145396,2569,9852,11689,8756,4940,4446,11618,0,3,0
75944.57784,2020,발달상권,2120219,은마아파트,1,1,36,1115,446,17161,18,0,13,24,37,19,48,71,899821,132766,125440,127549,126563,127573,125551,135511,131631,62,0,6,0,1,149660,360717,86295,76180,163469,108110,105049,16930,0,7,0
20789.89057,2020,발달상권,2120220,대치역,1,1,24,845,264,5578,2,0,0,0,0,0,0,212,573526,85711,81511,83288,81587,83197,82680,84315,76950,82,1,8,0,0,163253,209809,50365,47902,107319,72244,85888,14454,16088,5,1
46219.69597,2020,발달상권,2120221,봉은사역,1,1,18,659,451,19513,7,0,5,42,23,31,1,75,555076,69327,88831,91941,88471,90722,85914,57669,51528,48,3,6,0,7,124925,51461,95660,132378,115165,74626,85785,27314,12966,6,1
21276.44016,2020,발달상권,2120222,삼성역,1,1,55,596,375,43324,8,0,3,24,31,7,31,3,1146421,76527,190876,202506,193183,198107,185746,95112,80890,107,4,15,1,8,356336,88728,240106,320709,238755,133555,124569,89711,55428,13,1
8613.095238,2020,발달상권,2120223,휘문고교사거리,1,1,6,332,111,9166,9,0,3,20,23,3,0,34,214634,19872,34878,36538,34965,35883,33969,19804,18596,21,0,0,0,0,133569,29270,37406,52636,45491,24991,24842,8488,0,5,0
124042.6211,2020,발달상권,2120224,수서역,1,1,27,633,434,12418,0,0,0,0,0,0,0,0,200012,37783,30890,31034,30471,30970,30356,24138,22151,42,0,4,0,0,60183,17057,21918,36393,32066,27969,64607,9254,52443,4,1
82047.64103,2020,전통시장,2130303,영동전통시장,1,1,3,1169,724,242,18,13,104,77,9,10,0,2,449823,79692,65742,68404,67572,69182,70109,58457,50359,7,0,0,0,3,39097,25212,108575,114704,77126,50542,73664,0,0,0,0
56136.6801,2020,전통시장,2130310,강남개포시장,1,1,9,108,83,298,0,0,0,0,0,0,0,0,192912,15911,27391,27202,27895,27535,27932,28164,26794,26,0,3,0,3,25363,41111,21113,20286,34426,30264,45713,2013,4454,2,1
22786.38004,2020,관광특구,1001496,강남 마이스 관광특구,1,1,12,24,13,15904,0,0,0,0,0,0,0,0,97812,5580,15159,15960,15520,15893,15433,10578,9269,52,4,10,1,0,237891,5940,22545,27379,20279,11387,10283,42535,0,5,0
153285.978,2020,발달상권,2120185,논현역,1,2,51,3692,2342,12764,52,6,305,363,153,42,33,58,3028997,550994,462128,462424,466963,466451,464487,376152,330392,164,1,11,0,17,321182,191220,670867,786311,570246,357722,452632,7840,15584,3,1
155156.9764,2020,발달상권,2120186,가로수길,1,2,27,3386,1870,6518,60,0,228,140,83,43,50,63,2278717,343868,329692,335708,341089,341708,349902,312728,267892,93,3,4,0,12,256687,250504,554530,515824,377620,239496,340745,17490,0,2,0
223109.3852,2020,발달상권,2120187,신논현역,1,2,79,4994,3515,13076,59,6,382,176,64,11,73,41,3260348,536639,480810,485731,489641,490372,505023,440644,368127,216,3,6,0,37,382392,224892,935355,845600,551235,334817,368451,2699,22334,3,1
43457.55913,2020,발달상권,2120188,압구정역,1,2,42,1137,583,8579,20,3,56,37,13,14,48,50,1660566,175643,254865,257129,256859,255906,264352,211100,160354,359,1,16,1,7,251745,224888,298888,345637,314382,206534,270237,48364,20952,6,1
135165.4422,2020,발달상권,2120190,강남을지병원,1,2,33,2273,1327,11703,48,5,226,191,43,47,33,2,1471786,230248,227867,231093,233573,233564,231675,171069,142944,115,0,4,0,10,295195,97892,324691,399562,298782,158147,192710,21003,0,6,0
114065.8159,2020,발달상권,2120191,학동역,1,2,52,4551,3003,13862,80,24,327,510,52,38,13,150,1791444,308965,279556,280111,282827,279314,275979,208351,185307,77,4,7,0,4,366286,124425,399975,484917,332732,195299,254096,16094,13506,6,1
125723.4131,2020,발달상권,2120192,뱅뱅사거리,1,2,66,6563,4491,27462,46,13,413,511,102,46,147,175,1790853,299526,288247,287168,287651,287472,280573,188806,170935,112,1,18,0,19,317599,127700,364389,488258,373163,218469,218874,9137,0,3,0
66811.24019,2020,발달상권,2120193,도산공원교차로,1,2,21,1196,602,6384,32,0,75,50,39,26,49,68,631089,82013,97573,100300,101969,102652,101278,71194,56125,48,1,5,0,1,185023,42012,129470,173460,129148,71755,85245,9024,0,3,0
99323.00352,2020,발달상권,2120194,언주역(차병원),1,2,50,2556,1687,12628,60,8,410,314,72,26,36,66,1737586,290175,271696,271942,275619,274060,269250,198571,176445,95,1,3,0,15,242446,90548,384168,491596,350772,192065,228439,9435,6555,8,1
61782.02473,2020,발달상권,2120195,성수대교남단,1,2,12,455,237,5611,8,6,26,12,18,24,23,1,1032391,135622,147384,155683,156485,158832,162865,141580,109564,92,0,10,0,4,126829,103065,234562,244483,182883,113444,153956,26048,0,3,0
